	trimmer_id	Dropout? Missing	Dropout Resolution
1874	L120/72.2	['n/a-n/a']	[nan]
1875	L120/72.3	['Dec2020dropout-Both']	[nan]
1876	L120/72.4	['Dec2020dropout-Both']	[nan]
1877	L120/72.5	['Dec2020dropout-Both']	[nan]
1878	L120/73	['n/a-n/a']	[nan]
1879	L120/74	['n/a-n/a']	[nan]
1880	L120/75	['n/a-n/a']	[nan]
1881	L120/76	['n/a-n/a']	[nan]
1882	L120/77	['n/a-n/a']	[nan]
1883	L120/78	['n/a-n/a']	[nan]
1884	L120/79	['n/a-n/a']	[nan]
1885	L120/8 (+L120/10)	['n/a-n/a']	[nan]
1886	L120/80	['n/a-n/a']	[nan]
1887	L120/81	['n/a-n/a']	[nan]
1888	L120/82	['n/a-n/a']	[nan]
1889	L120/83	['n/a-n/a']	[nan]
1890	L120/84	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
1891	L120/85	['n/a-n/a']	[nan]
1892	L120/86.1	['n/a-n/a']	[nan]
1893	L120/86.2	['n/a-n/a']	[nan]
1894	L120/86.3	['n/a-n/a']	[nan]
1895	L120/86.4	['n/a-n/a']	[nan]
1896	L120/86.5	['n/a-n/a']	[nan]
1897	L120/87	['n/a-n/a']	[nan]
1898	L120/88	['n/a-n/a']	[nan]
1899	L120/89	['n/a-n/a']	[nan]
1900	L120/9.1	['n/a-n/a']	[nan]
1901	L120/9.3	['n/a-n/a']	[nan]
1902	L120/9.4	['n/a-n/a']	[nan]
1903	L120/9.5	['n/a-n/a']	[nan]
1904	L120/90.3	['n/a-n/a']	[nan]
1905	L120/90.4	['Dec2020dropout-Both']	[nan]
1906	L120/90.5	['n/a-n/a']	[nan]
1907	L120/91.10	['Dec2020dropout-HC']	[nan]
1908	L120/91.11	['Dec2020dropout-HC']	[nan]
1909	L120/91.12	['Dec2020dropout-HC']	[nan]
1910	L120/91.13	['Dec2020dropout-HC']	[nan]
1911	L120/91.14	['Dec2020dropout-Both']	[nan]
1912	L120/91.2	['Dec2020dropout-Both']	[nan]
1913	L120/91.4	['Dec2020dropout-Both']	[nan]
1914	L120/91.5	['Dec2020dropout-Both']	[nan]
1915	L120/91.6	['Dec2020dropout-HC']	[nan]
1916	L120/91.7	['Dec2020dropout-Both']	[nan]
1917	L120/91.8	['Dec2020dropout-Both']	[nan]
1918	L120/91.8.1	['Dec2020dropout-HC']	[nan]
1919	L120/91.8.1.2	['Dec2020dropout-HC']	[nan]
1920	L120/91.8.1.3	['Dec2020dropout-HC']	[nan]
1921	L120/91.8.1.4	['Dec2020dropout-HC']	[nan]
1922	L120/91.8.1.5	['Dec2020dropout-HC']	[nan]
1923	L120/91.8.2	['Dec2020dropout-HC']	[nan]
1924	L120/91.9	['Dec2020dropout-HC']	[nan]
1925	L120/92	['n/a-n/a']	[nan]
1926	L120/93	['n/a-n/a']	[nan]
1927	L120/94	['n/a-n/a']	[nan]
1928	L120/95	['n/a-n/a']	[nan]
1929	L120/96	['Dec2020dropout-Both']	['n/a, Category 4 parent so skip for now']
1930	L120/97	['n/a-n/a']	[nan]
1931	L120/98	['n/a-n/a']	[nan]
1932	L120/99	['n/a-n/a']	[nan]
1933	L121/1	['n/a-n/a']	[nan]
1934	L121/10	['n/a-n/a']	[nan]
1935	L121/103	['n/a-n/a']	[nan]
1936	L121/107	['n/a-n/a']	[nan]
1937	L121/109	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
1938	L121/11	['n/a-n/a']	[nan]
1939	L121/111	['n/a-n/a']	[nan]
1940	L121/112	['n/a-n/a']	[nan]
1941	L121/114	['n/a-n/a']	[nan]
1942	L121/116	['n/a-n/a']	[nan]
1943	L121/117	['n/a-n/a']	[nan]
1944	L121/118	['n/a-n/a']	[nan]
1945	L121/119	['n/a-n/a']	[nan]
1946	L121/120	['n/a-n/a']	[nan]
1947	L121/121	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
1948	L121/122	['n/a-n/a']	[nan]
1949	L121/124	['n/a-n/a']	[nan]
1950	L121/125	['n/a-n/a']	[nan]
1951	L121/126	['n/a-n/a']	[nan]
1952	L121/127	['n/a-n/a']	[nan]
1953	L121/128	['n/a-n/a']	[nan]
1954	L121/129	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
1955	L121/13	['n/a-n/a']	[nan]
1956	L121/130	['n/a-n/a']	[nan]
1957	L121/131	['n/a-n/a']	[nan]
1958	L121/132	['n/a-n/a']	[nan]
1959	L121/133.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
1960	L121/133.2	['n/a-n/a']	[nan]
1961	L121/133.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
1962	L121/133.4	['n/a-n/a']	[nan]
1963	L121/133.5	['n/a-n/a']	[nan]
1964	L121/135	['n/a-n/a']	[nan]
1965	L121/136.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
1966	L121/136.2	['n/a-n/a']	[nan]
1967	L121/136.3	['n/a-n/a']	[nan]
1968	L121/136.4	['n/a-n/a']	[nan]
1969	L121/136.5	['n/a-n/a']	[nan]
1970	L121/137	['n/a-n/a']	[nan]
1971	L121/138	['n/a-n/a']	[nan]
1972	L121/139	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
1973	L121/140	['n/a-n/a']	[nan]
1974	L121/141	['n/a-n/a']	[nan]
1975	L121/143	['n/a-n/a']	[nan]
1976	L121/144	['n/a-n/a']	[nan]
1977	L121/18	['n/a-n/a']	[nan]
1978	L121/19	['n/a-n/a']	[nan]
1979	L121/2	['n/a-n/a']	[nan]
1980	L121/20	['n/a-n/a']	[nan]
1981	L121/21	['n/a-n/a']	[nan]
1982	L121/22	['n/a-n/a']	[nan]
1983	L121/23	['n/a-n/a']	[nan]
1984	L121/25.1	['n/a-n/a', 'Dec2020dropout-HC']	[nan, 'n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)']
1985	L121/25.1.2	['n/a-n/a']	[nan]
1986	L121/25.1.3	['n/a-n/a']	[nan]
1987	L121/25.1.4	['Dec2020dropout-HC']	[nan]
1988	L121/25.1.5	['Dec2020dropout-HC']	[nan]
1989	L121/25.2	['Dec2020dropout-Both']	[nan]
1990	L121/27	['n/a-n/a']	[nan]
1991	L121/28	['n/a-n/a']	[nan]
1992	L121/29	['n/a-n/a']	[nan]
1993	L121/3	['n/a-n/a']	[nan]
1994	L121/30	['n/a-n/a']	[nan]
1995	L121/33	['n/a-n/a']	[nan]
1996	L121/36	['n/a-n/a']	[nan]
1997	L121/37	['n/a-n/a']	[nan]
1998	L121/39	['n/a-n/a']	[nan]
1999	L121/4	['n/a-n/a']	[nan]
2000	L121/42.1	['n/a-n/a']	[nan]
2001	L121/42.2	['n/a-n/a']	[nan]
2002	L121/42.3	['n/a-n/a']	[nan]
2003	L121/42.4	['Dec2020dropout-Both', 'n/a-n/a']	[nan, nan]
2004	L121/42.5	['n/a-n/a']	[nan]
2005	L121/43	['n/a-n/a']	[nan]
2006	L121/44	['n/a-n/a']	[nan]
2007	L121/46	['n/a-n/a']	[nan]
2008	L121/47	['n/a-n/a']	[nan]
2009	L121/48	['n/a-n/a']	[nan]
2010	L121/49	['n/a-n/a']	[nan]
2011	L121/5	['n/a-n/a']	[nan]
2012	L121/50	['n/a-n/a']	[nan]
2013	L121/51	['n/a-n/a']	[nan]
2014	L121/52	['n/a-n/a']	[nan]
2015	L121/53	['n/a-n/a']	[nan]
2016	L121/55	['n/a-n/a']	[nan]
2017	L121/56	['n/a-n/a']	[nan]
2018	L121/58	['n/a-n/a']	[nan]
2019	L121/59	['n/a-n/a']	[nan]
2020	L121/6	['n/a-n/a']	[nan]
2021	L121/60	['n/a-n/a']	[nan]
2022	L121/61	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2023	L121/62	['n/a-n/a']	[nan]
2024	L121/63	['n/a-n/a']	[nan]
2025	L121/64	['n/a-n/a']	[nan]
2026	L121/65	['n/a-n/a']	[nan]
2027	L121/66	['n/a-n/a']	[nan]
2028	L121/68	['n/a-n/a']	[nan]
2029	L121/69	['n/a-n/a']	[nan]
2030	L121/7	['n/a-n/a']	[nan]
2031	L121/70	['n/a-n/a']	[nan]
2032	L121/71	['n/a-n/a']	[nan]
2033	L121/73	['n/a-n/a']	[nan]
2034	L121/74	['n/a-n/a']	[nan]
2035	L121/75	['n/a-n/a']	[nan]
2036	L121/79	['n/a-n/a']	[nan]
2037	L121/80	['n/a-n/a']	[nan]
2038	L121/82	['n/a-n/a']	[nan]
2039	L121/83	['n/a-n/a']	[nan]
2040	L121/84	['n/a-n/a']	[nan]
2041	L121/86	['n/a-n/a']	[nan]
2042	L121/89	['n/a-n/a']	[nan]
2043	L121/9	['n/a-n/a']	[nan]
2044	L121/92	['n/a-n/a']	[nan]
2045	L121/93	['n/a-n/a']	[nan]
2046	L121/94	['n/a-n/a']	[nan]
2047	L121/95	['n/a-n/a']	[nan]
2048	L121/96	['n/a-n/a']	[nan]
2049	L121/97	['n/a-n/a']	[nan]
2050	L122/1	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2051	L122/10	['n/a-n/a']	[nan]
2052	L122/100	['n/a-n/a']	[nan]
2053	L122/101	['n/a-n/a']	[nan]
2054	L122/102	['n/a-n/a']	[nan]
2055	L122/103	['n/a-n/a']	[nan]
2056	L122/104	['n/a-n/a']	[nan]
2057	L122/105	['n/a-n/a']	[nan]
2058	L122/106	['n/a-n/a']	[nan]
2059	L122/107	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2060	L122/108	['n/a-n/a']	[nan]
2061	L122/109	['n/a-n/a']	[nan]
2062	L122/11	['n/a-n/a']	[nan]
2063	L122/110	['n/a-n/a']	[nan]
2064	L122/111	['n/a-n/a']	[nan]
2065	L122/112	['n/a-n/a']	[nan]
2066	L122/113	['n/a-n/a']	[nan]
2067	L122/114	['n/a-n/a']	[nan]
2068	L122/115	['n/a-n/a']	[nan]
2069	L122/116	['n/a-n/a']	[nan]
2070	L122/117	['n/a-n/a']	[nan]
2071	L122/118	['Dec2020dropout-Both']	['n/a, Category 4 parent so skip for now']
2072	L122/119	['n/a-n/a']	[nan]
2073	L122/120	['n/a-n/a']	[nan]
2074	L122/122	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2075	L122/123	['n/a-n/a']	[nan]
2076	L122/124	['n/a-n/a']	[nan]
2077	L122/125	['n/a-n/a']	[nan]
2078	L122/126	['n/a-n/a']	[nan]
2079	L122/127	['n/a-n/a']	[nan]
2080	L122/128	['n/a-n/a']	[nan]
2081	L122/129	['n/a-n/a']	[nan]
2082	L122/130	['n/a-n/a']	[nan]
2083	L122/131	['n/a-n/a']	[nan]
2084	L122/132	['n/a-n/a']	[nan]
2085	L122/133	['n/a-n/a']	[nan]
2086	L122/134	['n/a-n/a']	[nan]
2087	L122/135	['n/a-n/a']	[nan]
2088	L122/136	['n/a-n/a']	[nan]
2089	L122/137	['n/a-n/a']	[nan]
2090	L122/138	['n/a-n/a']	[nan]
2091	L122/139	['n/a-n/a']	[nan]
2092	L122/140	['n/a-n/a']	[nan]
2093	L122/141	['n/a-n/a']	[nan]
2094	L122/142	['n/a-n/a']	[nan]
2095	L122/143	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2096	L122/144.1	['n/a-n/a']	[nan]
2097	L122/144.10	['n/a-n/a']	[nan]
2098	L122/144.2	['n/a-n/a']	[nan]
2099	L122/144.3	['Dec2020dropout-Both']	[nan]
2100	L122/144.4	['n/a-n/a']	[nan]
2101	L122/144.5	['n/a-n/a']	[nan]
2102	L122/144.6	['Dec2020dropout-Both']	[nan]
2103	L122/144.7	['n/a-n/a']	[nan]
2104	L122/144.8	['n/a-n/a']	[nan]
2105	L122/144.9	['n/a-n/a']	[nan]
2106	L122/15	['n/a-n/a']	[nan]
2107	L122/16	['n/a-n/a']	[nan]
2108	L122/17	['n/a-n/a']	[nan]
2109	L122/18	['n/a-n/a']	[nan]
2110	L122/19	['n/a-n/a']	[nan]
2111	L122/2	['n/a-n/a']	[nan]
2112	L122/20	['n/a-n/a']	[nan]
2113	L122/21	['n/a-n/a']	[nan]
2114	L122/22	['n/a-n/a']	[nan]
2115	L122/23	['n/a-n/a']	[nan]
2116	L122/24	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2117	L122/26	['n/a-n/a']	[nan]
2118	L122/27	['n/a-n/a']	[nan]
2119	L122/29	['n/a-n/a']	[nan]
2120	L122/3	['n/a-n/a']	[nan]
2121	L122/30	['n/a-n/a']	[nan]
2122	L122/31	['n/a-n/a']	[nan]
2123	L122/33	['n/a-n/a']	[nan]
2124	L122/34	['n/a-n/a']	[nan]
2125	L122/37	['n/a-n/a']	[nan]
2126	L122/39	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2127	L122/4.2	['Dec2020dropout-LC']	[nan]
2128	L122/4.3	['n/a-n/a']	[nan]
2129	L122/4.4	['Dec2020dropout-Both']	[nan]
2130	L122/40	['n/a-n/a']	[nan]
2131	L122/41	['n/a-n/a']	[nan]
2132	L122/43	['n/a-n/a']	[nan]
2133	L122/45	['n/a-n/a']	[nan]
2134	L122/48	['n/a-n/a']	[nan]
2135	L122/49	['n/a-n/a']	[nan]
2136	L122/5	['n/a-n/a']	[nan]
2137	L122/50	['n/a-n/a']	[nan]
2138	L122/51	['n/a-n/a']	[nan]
2139	L122/52	['n/a-n/a']	[nan]
2140	L122/53	['n/a-n/a']	[nan]
2141	L122/54	['n/a-n/a']	[nan]
2142	L122/55	['n/a-n/a']	[nan]
2143	L122/56	['n/a-n/a']	[nan]
2144	L122/57	['Dec2020dropout-LC']	['n/a, Category 4 parent so skip for now']
2145	L122/58	['n/a-n/a']	[nan]
2146	L122/59	['n/a-n/a']	[nan]
2147	L122/6.1	['n/a-n/a']	[nan]
2148	L122/6.2	['n/a-n/a']	[nan]
2149	L122/6.2C	['n/a-n/a']	[nan]
2150	L122/6.3	['n/a-n/a']	[nan]
2151	L122/6.4	['n/a-n/a']	[nan]
2152	L122/6.5	['n/a-n/a']	[nan]
2153	L122/60	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2154	L122/61	['n/a-n/a']	[nan]
2155	L122/62	['n/a-n/a']	[nan]
2156	L122/63	['n/a-n/a']	[nan]
2157	L122/64	['n/a-n/a']	[nan]
2158	L122/65	['n/a-n/a']	[nan]
2159	L122/66	['n/a-n/a']	[nan]
2160	L122/67	['n/a-n/a']	[nan]
2161	L122/68.1	['n/a-n/a']	[nan]
2162	L122/68.1.1	['Dec2020dropout-Both']	[nan]
2163	L122/68.1.2	['n/a-n/a']	[nan]
2164	L122/68.1.3	['Dec2020dropout-Both', nan]	[nan, nan]
2165	L122/68.1.4	['Dec2020dropout-Both']	[nan]
2166	L122/68.2	['Dec2020dropout-Both']	[nan]
2167	L122/68.3	['Dec2020dropout-Both']	[nan]
2168	L122/68.4	['Dec2020dropout-Both']	[nan]
2169	L122/68.5	['Dec2020dropout-Both']	[nan]
2170	L122/7	['n/a-n/a']	[nan]
2171	L122/70	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2172	L122/71	['n/a-n/a']	[nan]
2173	L122/72	['Dec2020dropout-LC']	['n/a, Category 4 parent so skip for now']
2174	L122/73	['n/a-n/a']	[nan]
2175	L122/74	['n/a-n/a']	[nan]
2176	L122/75	['n/a-n/a']	[nan]
2177	L122/76	['n/a-n/a']	[nan]
2178	L122/77	['n/a-n/a']	[nan]
2179	L122/80	['n/a-n/a']	[nan]
2180	L122/81	['n/a-n/a']	[nan]
2181	L122/82	['n/a-n/a']	[nan]
2182	L122/83	['n/a-n/a']	[nan]
2183	L122/84	['n/a-n/a']	[nan]
2184	L122/85	['n/a-n/a']	[nan]
2185	L122/86	['n/a-n/a']	[nan]
2186	L122/87	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2187	L122/88	['n/a-n/a']	[nan]
2188	L122/89	['n/a-n/a']	[nan]
2189	L122/9	['n/a-n/a']	[nan]
2190	L122/90	['n/a-n/a']	[nan]
2191	L122/91	['n/a-n/a']	[nan]
2192	L122/92	['n/a-n/a']	[nan]
2193	L122/93	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2194	L122/94	['n/a-n/a']	[nan]
2195	L122/96	['n/a-n/a']	[nan]
2196	L122/97	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2197	L122/98	['n/a-n/a']	[nan]
2198	L122/99	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2199	L123/109.1	['n/a-n/a']	[nan]
2200	L123/109.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2201	L123/109.3	['n/a-n/a']	[nan]
2202	L123/109.4	['Dec2020dropout-Both']	[nan]
2203	L123/109.5	['n/a-n/a']	[nan]
2204	L123/46.1	['n/a-n/a']	[nan]
2205	L123/46.2	['n/a-n/a']	[nan]
2206	L123/46.3	['n/a-n/a']	[nan]
2207	L123/46.4	['n/a-n/a']	[nan]
2208	L123/46.5	['n/a-n/a']	[nan]
2209	L123/53.1	['n/a-n/a']	[nan]
2210	L123/53.1.1	['n/a-n/a']	[nan]
2211	L123/53.1.1.1	['n/a-n/a']	[nan]
2212	L123/67.1	['n/a-n/a']	[nan]
2213	L123/67.2	['n/a-n/a']	[nan]
2214	L123/67.3	['n/a-n/a']	[nan]
2215	L123/67.5	['n/a-n/a']	[nan]
2216	L124/1	['n/a-n/a']	[nan]
2217	L124/10	['n/a-n/a']	[nan]
2218	L124/100	['n/a-n/a']	[nan]
2219	L124/101	['n/a-n/a']	[nan]
2220	L124/102	['n/a-n/a']	[nan]
2221	L124/103	['n/a-n/a']	[nan]
2222	L124/104	['n/a-n/a']	[nan]
2223	L124/105	['n/a-n/a']	[nan]
2224	L124/106	['n/a-n/a']	[nan]
2225	L124/107.1	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2226	L124/107.1.1	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
2227	L124/107.1.2	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2228	L124/107.1.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2229	L124/107.1.4	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2230	L124/107.1.5	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2231	L124/107.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2232	L124/107.3	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2233	L124/107.4	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2234	L124/107.5	['n/a-n/a', 'Dec2020dropout-HC']	[nan, nan]
2235	L124/108	['n/a-n/a']	[nan]
2236	L124/109	['n/a-n/a']	[nan]
2237	L124/11	['n/a-n/a']	[nan]
2238	L124/110	['n/a-n/a']	[nan]
2239	L124/111	['n/a-n/a']	[nan]
2240	L124/112	['n/a-n/a']	[nan]
2241	L124/113	['n/a-n/a']	[nan]
2242	L124/114.1	['Dec2020dropout-Both', 'Dec2020dropout-HC']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2243	L124/114.10	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2244	L124/114.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2245	L124/114.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2246	L124/114.4	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
2247	L124/114.4.1	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2248	L124/114.4.2	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2249	L124/114.5	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2250	L124/114.6	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2251	L124/114.7	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2252	L124/114.8	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
2253	L124/114.9	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2254	L124/115	['n/a-n/a']	[nan]
2255	L124/116	['n/a-n/a']	[nan]
2256	L124/117	['n/a-n/a']	[nan]
2257	L124/118	['n/a-n/a']	[nan]
2258	L124/119	['n/a-n/a']	[nan]
2259	L124/12	['n/a-n/a']	[nan]
2260	L124/120	['n/a-n/a']	[nan]
2261	L124/121	['n/a-n/a']	[nan]
2262	L124/122	['n/a-n/a']	[nan]
2263	L124/123	['n/a-n/a']	[nan]
2264	L124/124	['n/a-n/a']	[nan]
2265	L124/125	['n/a-n/a']	[nan]
2266	L124/126	['n/a-n/a']	[nan]
2267	L124/127	['n/a-n/a']	[nan]
2268	L124/128	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2269	L124/129	['n/a-n/a']	[nan]
2270	L124/13	['n/a-n/a']	[nan]
2271	L124/130	['n/a-n/a']	[nan]
2272	L124/131	['n/a-n/a']	[nan]
2273	L124/132	['n/a-n/a']	[nan]
2274	L124/133	['n/a-n/a']	[nan]
2275	L124/134	['n/a-n/a']	[nan]
2276	L124/135	['n/a-n/a']	[nan]
2277	L124/136	['n/a-n/a']	[nan]
2278	L124/137	['n/a-n/a']	[nan]
2279	L124/138	['n/a-n/a']	[nan]
2280	L124/139	['n/a-n/a']	[nan]
2281	L124/14	['n/a-n/a']	[nan]
2282	L124/140	['n/a-n/a']	[nan]
2283	L124/141	['n/a-n/a']	[nan]
2284	L124/142	['n/a-n/a']	[nan]
2285	L124/143	['n/a-n/a']	[nan]
2286	L124/144	['n/a-n/a']	[nan]
2287	L124/15	['n/a-n/a']	[nan]
2288	L124/16	['n/a-n/a']	[nan]
2289	L124/17	['n/a-n/a']	[nan]
2290	L124/18	['n/a-n/a']	[nan]
2291	L124/19	['n/a-n/a']	[nan]
2292	L124/2	['n/a-n/a']	[nan]
2293	L124/20	['n/a-n/a']	[nan]
2294	L124/21	['n/a-n/a']	[nan]
2295	L124/22	['n/a-n/a']	[nan]
2296	L124/23	['n/a-n/a']	[nan]
2297	L124/24	['n/a-n/a']	[nan]
2298	L124/25	['n/a-n/a']	[nan]
2299	L124/26	['n/a-n/a']	[nan]
2300	L124/27	['n/a-n/a']	[nan]
2301	L124/28	['n/a-n/a']	[nan]
2302	L124/29	['Dec2020dropout-Both']	['n/a, Category 4 parent so skip for now']
2303	L124/3	['n/a-n/a']	[nan]
2304	L124/30	['n/a-n/a']	[nan]
2305	L124/31	['n/a-n/a']	[nan]
2306	L124/32	['n/a-n/a']	[nan]
2307	L124/33	['n/a-n/a']	[nan]
2308	L124/34	['n/a-n/a']	[nan]
2309	L124/35.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2310	L124/35.2	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2311	L124/35.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2312	L124/35.4	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2313	L124/35.5	['n/a-n/a', 'Dec2020dropout-LC']	[nan, nan]
2314	L124/35.7	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2315	L124/35.8	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2316	L124/35.9	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2317	L124/36	['n/a-n/a']	[nan]
2318	L124/37	['n/a-n/a']	[nan]
2319	L124/38	['n/a-n/a']	[nan]
2320	L124/39	['n/a-n/a']	[nan]
2321	L124/4.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2322	L124/4.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2323	L124/4.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2324	L124/4.4	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2325	L124/4.5	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
2326	L124/4.6	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2327	L124/4.7	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2328	L124/4.8	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2329	L124/40	['n/a-n/a']	[nan]
2330	L124/41.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2331	L124/41.1.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2332	L124/41.1.2	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2333	L124/41.1.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2334	L124/41.1.4	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2335	L124/41.1.5	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2336	L124/41.1.6	['Dec2020dropout-Both', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2337	L124/41.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2338	L124/41.3	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2339	L124/41.4	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2340	L124/41.5	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
2341	L124/41.6	['n/a-n/a', 'n/a-n/a']	[nan, nan]
2342	L124/41.7	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
2343	L124/41.8	['n/a-n/a']	[nan]
2344	L124/42	['n/a-n/a']	[nan]
2345	L124/43	['Dec2020dropout-Both']	['n/a, Category 4 parent so skip for now']
2346	L124/44	['n/a-n/a']	[nan]
2347	L124/45	['n/a-n/a']	[nan]
2348	L124/46	['n/a-n/a']	[nan]
2349	L124/47	['n/a-n/a']	[nan]
2350	L124/48	['n/a-n/a']	[nan]
2351	L124/49	['n/a-n/a']	[nan]
2352	L124/5	['n/a-n/a']	[nan]
2353	L124/50	['n/a-n/a']	[nan]
2354	L124/51	['Dec2020dropout-HC']	['n/a, Category 4 parent so skip for now']
2355	L124/52	['n/a-n/a']	[nan]
2356	L124/53	['n/a-n/a']	[nan]
2357	L124/54	['n/a-n/a']	[nan]
2358	L124/55	['Dec2020dropout-Both']	['n/a, Category 4 parent so skip for now']
2359	L124/56	['n/a-n/a']	[nan]
2360	L124/57	['n/a-n/a']	[nan]
2361	L124/58	['n/a-n/a']	[nan]
2362	L124/59.1	['n/a-n/a']	[nan]
2363	L124/59.2	['n/a-n/a']	[nan]
2364	L124/59.2.1	['n/a-n/a']	[nan]
2365	L124/59.2.2	['n/a-n/a']	[nan]
2366	L124/59.2.3	['n/a-n/a']	[nan]
2367	L124/59.2.4	['n/a-n/a']	[nan]
2368	L124/59.2.5	['n/a-n/a']	[nan]
2369	L124/6	['n/a-n/a']	[nan]
2370	L124/60	['n/a-n/a']	[nan]
2371	L124/61	['n/a-n/a']	[nan]
