	trimmer_id	Dropout? Missing	Dropout Resolution
3722	N21/32.2	['n/a-n/a']	[nan]
3723	N21/32.3	['n/a-n/a']	[nan]
3724	N21/32.4	['n/a-n/a']	[nan]
3725	N21/32.5	['n/a-n/a']	[nan]
3726	N21/32.6	['n/a-n/a']	[nan]
3727	N210/25.1	['n/a-n/a']	[nan]
3728	N210/27.2	['n/a-n/a']	[nan]
3729	N210/35.1	['n/a-n/a']	[nan]
3730	N210/5.1	['n/a-n/a', nan]	[nan, nan]
3731	N210/5.2	['n/a-n/a']	[nan]
3732	N210/9.1	['n/a-n/a']	[nan]
3733	N211A/10.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3734	N211A/10.2	['n/a-n/a', 'n/a-n/a', 'n/a-n/a']	[nan, nan, nan]
3735	N211A/33.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3736	N211A/33.2	['n/a-n/a']	[nan]
3737	N211A/33.3	['n/a-n/a']	[nan]
3738	N211A/33.4	['n/a-n/a']	[nan]
3739	N211A/33.5	['n/a-n/a']	[nan]
3740	N212/17.3	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3741	N212/17.6	[nan]	[nan]
3742	N212/17R	['n/a-n/a']	[nan]
3743	N212/27.1	['n/a-n/a']	[nan]
3744	N212/3.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3745	N212/3.5	['n/a-n/a']	[nan]
3746	N212/3.6	['n/a-n/a']	[nan]
3747	N212/3R	['n/a-n/a']	[nan]
3748	N212/7.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3749	N212/7.3	['n/a-n/a']	[nan]
3750	N212/7.4	['n/a-n/a']	[nan]
3751	N212/7R	['n/a-n/a']	[nan]
3752	N212A/34.1	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3753	N215/1.1	['n/a-n/a', 'Dec2020dropout-HC']	[nan, nan]
3754	N215/13.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3755	N215/16.3	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3756	N215/18.4	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
3757	N215/22.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3758	N215/26.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3759	N215/4.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3760	N216/30.1	['n/a-n/a']	[nan]
3761	N217/19.1.1	['n/a-n/a']	[nan]
3762	N218/16.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3763	N218A/13.1	['n/a-n/a', 'Dec2020dropout-HC']	[nan, nan]
3764	N218A/14.1	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
3765	N218A/16.1	['n/a-n/a', 'Dec2020dropout-HC']	[nan, nan]
3766	N219/16.1	['n/a-n/a']	[nan]
3767	N219/19.1	['n/a-n/a']	[nan]
3768	N219/30.1	['n/a-n/a']	[nan]
3769	N219/5.1	['n/a-n/a']	[nan]
3770	N219/5.2	['n/a-n/a']	[nan]
3771	N219/5.3	['n/a-n/a']	[nan]
3772	N22/18.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3773	N22/18.2	['n/a-n/a']	[nan]
3774	N22/18.3	['n/a-n/a']	[nan]
3775	N22/18.4	['n/a-n/a']	[nan]
3776	N22/18.5	['n/a-n/a']	[nan]
3777	N22/21.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3778	N22/21.2	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3779	N22/21.3	['n/a-n/a']	[nan]
3780	N22/21.4	['n/a-n/a']	[nan]
3781	N221/12.1	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3782	N221/17.2	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3783	N222/16.1	['n/a-n/a']	[nan]
3784	N222/21.1	['n/a-n/a']	[nan]
3785	N222/24.1	['n/a-n/a']	[nan]
3786	N222/3.1	['n/a-n/a']	[nan]
3787	N222/38.1	['n/a-n/a']	[nan]
3788	N222/40.1	['Dec2020dropout-Both', 'Dec2020dropout-Both']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3789	N222/6.2.9	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3790	N222/6R	['n/a-n/a']	[nan]
3791	N222/9.1	['n/a-n/a']	[nan]
3792	N223A/10.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3793	N223A/15.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3794	N223A/42.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3795	N223A/51.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3796	N223A/65.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3797	N224/11.5	['n/a-n/a']	[nan]
3798	N224/14.1	['n/a-n/a']	[nan]
3799	N224/15.1	['n/a-n/a']	[nan]
3800	N224/18.3	['n/a-n/a']	[nan]
3801	N224/20.1	['n/a-n/a']	[nan]
3802	N224/25.1	['n/a-n/a']	[nan]
3803	N224/3.2	['n/a-n/a']	[nan]
3804	N225/28.1	['n/a-n/a']	[nan]
3805	N225A/10.1	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3806	N225A/13.1	['n/a-n/a']	[nan]
3807	N225A/25.2	['n/a-n/a']	[nan]
3808	N226/13.1	['Dec2020dropout-HC']	[nan]
3809	N226/21.1	['Dec2020dropout-HC']	[nan]
3810	N227/11.1	['n/a-n/a']	[nan]
3811	N227/12.1	['n/a-n/a']	[nan]
3812	N227/21.1	['n/a-n/a']	[nan]
3813	N227/21.3	[nan]	[nan]
3814	N227/21.4	['n/a-n/a']	[nan]
3815	N227A/30.1	['n/a-n/a']	[nan]
3816	N227A/31.1	['n/a-n/a']	[nan]
3817	N228A/16.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3818	N229/23.1	['Dec2020dropout-HC']	[nan]
3819	N229/23.2	['n/a-n/a']	[nan]
3820	N229/23.4	['Dec2020dropout-Both']	[nan]
3821	N229/27.1	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3822	N229A/17	['n/a-n/a']	[nan]
3823	N229A/19	['n/a-n/a']	[nan]
3824	N229A/32.1	['n/a-n/a']	[nan]
3825	N229A/32.10	['n/a-n/a']	[nan]
3826	N229A/32.2	['n/a-n/a']	[nan]
3827	N229A/32.3	['n/a-n/a']	[nan]
3828	N229A/32.4	['n/a-n/a']	[nan]
3829	N229A/32.5	['n/a-n/a']	[nan]
3830	N229A/32.6	['n/a-n/a', 'n/a-n/a', 'n/a-n/a']	[nan, nan, nan]
3831	N229A/32.7	['Dec2020dropout-Both']	[nan]
3832	N229A/32.8	['n/a-n/a']	[nan]
3833	N229A/32.9	['n/a-n/a']	[nan]
3834	N229A/32R	['n/a-n/a']	[nan]
3835	N229A/37.1	['n/a-n/a']	[nan]
3836	N229A/89.1	['n/a-n/a']	[nan]
3837	N229A/89.3	['n/a-n/a']	[nan]
3838	N229A/89.4	['n/a-n/a']	[nan]
3839	N229A/89.5	['Dec2020dropout-Both']	[nan]
3840	N23/31.1	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3841	N23/4.1	['n/a-n/a']	[nan]
3842	N23/7.1	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3843	N230/14.1	['n/a-n/a']	[nan]
3844	N230/17.1	['n/a-n/a']	[nan]
3845	N230/2.2	['n/a-n/a']	[nan]
3846	N230/21.3	['n/a-n/a']	[nan]
3847	N230/21.5	['n/a-n/a']	[nan]
3848	N230/21R	['n/a-n/a']	[nan]
3849	N230/7.3	['n/a-n/a']	[nan]
3850	N230/8.2	['n/a-n/a']	[nan]
3851	N231A/20.1	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3852	N231A/3.6	['n/a-n/a']	[nan]
3853	N231A/41.3	['n/a-n/a']	[nan]
3854	N231A/43.4	['Dec2020dropout-HC', 'n/a-n/a']	['n/a, no show on web (control, expecting better seq from redo, just corroborating, etc.)', nan]
3855	N231B/30.1	['n/a-n/a']	[nan]
3856	N231B/34.1	['Dec2020dropout-Both', 'n/a-n/a', 'n/a-n/a', nan, nan]	[nan, nan, nan, nan, nan]
3857	N231B/36.1	['n/a-n/a']	[nan]
3858	N232/18.1	['n/a-n/a']	[nan]
3859	N232/21.1	['n/a-n/a']	[nan]
3860	N232/22.1	['n/a-n/a']	[nan]
3861	N232/5.1	['n/a-n/a']	[nan]
3862	N232/58.1	['n/a-n/a']	[nan]
3863	N232/9.1.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3864	N233/22.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3865	N233/38.1	['Dec2020dropout-HC']	[nan]
3866	N233/8.1	[nan]	[nan]
3867	N233/8.12	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
3868	N233/8.15	[nan]	[nan]
3869	N234/15.1	['n/a-n/a', 'Dec2020dropout-Both']	[nan, nan]
3870	N234/33.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3871	N235/11.1	['n/a-n/a']	[nan]
3872	N235/14.2	['n/a-n/a']	[nan]
3873	N235/20.1	['n/a-n/a']	[nan]
3874	N235/22.1.1	['n/a-n/a', 'n/a-n/a', nan]	[nan, nan, nan]
3875	N235/22.1.5	[nan]	[nan]
3876	N235/22R	['n/a-n/a']	[nan]
3877	N237/19.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3878	N237/2.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3879	N237/22.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3880	N237/24.4	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3881	N237/3.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3882	N237/4.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3883	N237/8.1	['n/a-n/a', 'n/a-n/a']	[nan, nan]
3884	N238/24.1	['n/a-n/a']	[nan]
3885	N238/25.3	['n/a-n/a']	[nan]
3886	N238/29.1	['n/a-n/a']	[nan]
3887	N238/29.2	['n/a-n/a']	[nan]
3888	N238/29.3	['n/a-n/a']	[nan]
3889	N238/30.2	['n/a-n/a', nan]	[nan, nan]
3890	N238/30.3	['Dec2020dropout-Both']	[nan]
3891	N238/30.4	[nan]	[nan]
3892	N238/30.5	['n/a-n/a']	[nan]
3893	N238/31.1	['n/a-n/a', 'n/a-n/a', 'Dec2020dropout-Both', nan]	[nan, nan, nan, nan]
