,stars-mean,stars-mean,stars-max,stars-max,stars-min,stars-min,stars-std,stars-std,stars-count,stars-count
chain-,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light,Heavy,Light
entry__mabid-,,,,,,,,,,
K14/16,4.203328852181089,4.302579367867511,4.597060929132121,4.8760207755238145,3.158163212122786,2.1205094280828005,0.5935465141679935,1.0743275993414336,5.0,6.0
K14/16R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K14/39,4.687435469585929,4.336360784998577,4.9798623063683305,4.815175097276264,3.460431654676259,3.112189859762675,0.5729371518566767,0.7798475928893277,7.0,7.0
K17/24,4.49916004330526,4.494708003017002,4.8753894080996885,4.882264150943396,3.9411764705882355,3.9902912621359223,0.3566280329012019,0.3923702581145626,6.0,6.0
K17/70,4.977962688785714,4.929796996085645,4.994303242769501,4.961645746164574,4.9515885022692885,4.90034762456547,0.016212747108473632,0.025747128574658645,7.0,7.0
K17/70R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K19/13,3.5273786412334385,3.129239740551932,3.8167143055691026,3.2537717963649113,3.2380429768977743,3.0047076847389524,0.40918242058172566,0.17611492228091874,2.0,2.0
K19/2,3.4772762598065765,2.5292797842003827,3.5156158314430916,2.6489305147268807,3.4389366881700614,2.4096290536738847,0.054220342183934546,0.16921168585842197,2.0,2.0
K19/36,4.847324824700084,4.743834960608399,4.982810485603782,4.867647058823529,4.705060346270409,4.573322342076503,0.13087006413080818,0.12989582692908289,5.0,5.0
K19/36R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K19/46,4.940653534716813,4.706519501967035,4.964475683890577,4.871794871794872,4.914691943127962,4.529411764705882,0.019399972177532053,0.12755628026942123,7.0,7.0
K19/5,2.9931165612385087,2.785558421703625,2.9931165612385087,2.785558421703625,2.9931165612385087,2.785558421703625,,,1.0,1.0
K20/77,,4.91974338639261,,4.962991518889746,,4.848942598187311,,0.03613706262179628,,7.0
K20/78,4.893791893128211,3.6640890662101078,4.988239363542027,4.832080200501253,4.752768512482257,3.045354791514265,0.057941596510573797,0.7406911585961719,15.0,43.0
K20/78R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K21/1,3.1534620290365636,2.9113571437483534,3.1534620290365636,2.9113571437483534,3.1534620290365636,2.9113571437483534,,,1.0,1.0
K25/59,,3.1145285022559834,,3.1145285022559834,,3.1145285022559834,,,,1.0
K25/73,3.3155820622407823,3.20827251076831,3.7209730222460284,3.6403520331210237,2.201199537446728,2.0792780943232465,0.7433177915116834,0.7541700501528502,4.0,4.0
K25/73R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K28/25,4.992497632884164,4.9796449615155804,4.995987963891675,4.982545454545455,4.988430947216196,4.975958786491128,0.002903914923828,0.00241556435919115,5.0,5.0
K28/27,,4.646810764556781,,4.954476479514415,,3.119969887964406,,0.7480010073663176,,6.0
K28/37,4.978577226289156,4.873078034705428,4.9840891010342085,4.884267631103074,4.971377459749553,4.86125,0.006127017741282886,0.010091963220333415,5.0,5.0
K28/38,4.624172363440289,3.9257275890144987,4.684370510811263,4.616211265157971,4.506497910994135,2.77126704445397,0.07990403669854551,0.9280947998212719,4.0,5.0
K28/42,,4.918815288783835,,4.931728131667175,,4.903409090909091,,0.011798847613993278,,6.0
K28/43,4.671419457659785,4.907850569105757,4.978142076502732,4.963846153846154,3.160558421703625,4.802469135802469,0.6703109665153165,0.06435887024884374,7.0,6.0
K28/43R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
K28/58,4.976093989820375,4.926282246167749,4.989696622781912,4.973591549295775,4.964467005076142,4.847305389221557,0.010086242944258871,0.039021784382158864,6.0,12.0
K28/74,4.663404370740891,4.6194566570311935,4.675189231170414,4.649789384887063,4.632233205111781,4.584722204011672,0.020821392073385108,0.026704753045594495,4.0,4.0
K28/77,4.684852713872246,4.164371651620715,4.688868102472485,4.296189074083574,4.677815911878699,4.076641371182719,0.005173826167097062,0.09443761039097387,4.0,4.0
K28/86,4.999668422433452,3.864604629679275,5.0,4.113416525434446,4.998743718592965,3.160558421703625,0.000545392583750549,0.3963360195789855,5.0,5.0
K28/91,4.684878964473336,3.4883613879305595,4.689077096514497,3.55972293817133,4.6808028568530755,3.3217040825000215,0.003380056687336332,0.11190418837699773,4.0,4.0
K28/94,4.9737046968329635,4.92217188097697,4.989834815756035,4.94009027492819,4.925925925925926,4.8730158730158735,0.027224647748749466,0.027893733529111623,5.0,5.0
K29/7,,3.084906247790581,,3.084906247790581,,3.084906247790581,,,,1.0
K35/40,2.2714200559644686,1.574142331461271,2.2714200559644686,1.574142331461271,2.2714200559644686,1.574142331461271,,,1.0,1.0
K35/43,4.570301477289744,3.0016553507245742,4.586955729520826,3.3743482625815524,4.546551705522359,2.0715056707109984,0.018229027630369175,0.6230611465284311,4.0,4.0
K35/57,4.63165182424828,3.9492838990385604,4.658205244275781,4.021179486103517,4.619398181569586,3.8096107945656423,0.01789935861620828,0.09557966649193828,4.0,4.0
K35/65,4.6666194140713175,4.39117585242434,4.680027322758841,4.434083690139197,4.634127144505721,4.33830518355674,0.021816330209201117,0.0408538744858573,4.0,4.0
K35/7,4.301723586011877,4.091447943479402,4.3136020822693,4.17133710772443,4.285097886061278,4.037433701904202,0.014833214673317718,0.07060215464092663,3.0,3.0
K35/85,4.631378033287181,3.6347559186833474,4.660816650603033,3.7675301399776817,4.6139939055008865,3.5106422960208725,0.020354597188029445,0.12202867415497276,4.0,4.0
K35/90,4.259299895854871,2.5726343873866573,4.283489459033066,2.9367867110397383,4.237783510073916,2.0938487858673374,0.02296993362227981,0.4330030920435291,3.0,3.0
K36/15,4.979807254232657,4.9095374743524145,4.989726027397261,4.949561403508772,4.964783565663977,4.833601717659689,0.009433536300752414,0.04821491238226609,6.0,6.0
K36/15R,2.0,2.0,2.0,2.0,2.0,2.0,,,1.0,1.0
